index;date;mv_azimute;mv_zenite;sp_azimute;sp_zenite;geracao
0;2025-03-02 01:35:41.587730-03:00;273.5323028564453;3.579780340194702;270.15565490722656;0.16215088963508606;4.306640625
1;2025-03-02 01:35:48.657787-03:00;273.5806655883789;-3.576263666152954;270.14115142822266;0.18363362550735474;5.185546875
2;2025-03-02 01:35:55.498558-03:00;273.54901123046875;3.5789010524749756;270.12667083740234;0.20510061085224152;3.8671875
3;2025-03-02 01:36:01.039774-03:00;266.45801544189453;-3.5894505977630615;270.11634063720703;0.22044798731803894;3.955078125
4;2025-03-02 01:36:06.832017-03:00;273.51648712158203;-3.578021764755249;270.10389709472656;0.23893746733665466;4.130859375
5;2025-03-02 01:36:13.529912-03:00;273.5217590332031;3.5780222415924072;270.0894241333008;0.2604483664035797;4.21875
6;2025-03-02 01:36:20.881178-03:00;273.5305480957031;3.576263666152954;270.0749206542969;0.28207701444625854;5.09765625
7;2025-03-02 01:36:27.871152-03:00;273.54813385009766;-3.5753846168518066;270.06044006347656;0.3036680519580841;4.658203125
8;2025-03-02 01:36:33.795176-03:00;266.46593475341797;3.581538677215576;270.0480270385742;0.3221835792064667;4.39453125
9;2025-03-02 01:36:40.585446-03:00;266.49669647216797;3.5771429538726807;270.03355407714844;0.34382835030555725;4.04296875
10;2025-03-02 01:36:48.914679-03:00;273.5542907714844;-3.5841758251190186;270.0169906616211;0.3686344027519226;4.482421875
11;2025-03-02 01:37:04.098779-03:00;273.5323028564453;-3.593846082687378;269.9859313964844;0.4183847904205322;4.482421875
12;2025-03-02 01:37:27.911960-03:00;273.53845977783203;3.5648353099823;269.9362487792969;0.493185430765152;3.33984375
13;2025-03-02 01:37:52.379639-03:00;266.4588928222656;3.572747230529785;269.88452911376953;0.5683929920196533;3.515625
14;2025-03-02 01:38:17.181887-03:00;266.4738464355469;3.5753848552703857;269.83277130126953;0.6471534371376038;4.21875
15;2025-03-02 01:38:41.504677-03:00;266.4668197631836;3.5789010524749756;269.78309631347656;0.7231020927429199;4.130859375
16;2025-03-02 01:39:04.479806-03:00;273.54901123046875;-3.5665934085845947;269.7355041503906;0.796191394329071;3.603515625
17;2025-03-02 01:39:28.576372-03:00;266.45538330078125;3.5753848552703857;269.68582916259766;0.8760717511177063;3.603515625
18;2025-03-02 01:39:53.834035-03:00;266.49669647216797;3.5709891319274902;269.6340789794922;0.9562418460845947;4.04296875
19;2025-03-02 01:40:10.626084-03:00;266.4633026123047;3.579780340194702;269.5988998413086;1.0078327655792236;3.427734375
20;2025-03-02 01:40:16.482604-03:00;273.5402145385742;3.5753848552703857;269.5864715576172;1.0271910429000854;3.8671875
21;2025-03-02 01:40:20.644470-03:00;273.52527618408203;-3.5736265182495117;269.57818603515625;1.040107011795044;4.21875
22;2025-03-02 01:40:24.246957-03:00;273.56044006347656;-3.5657143592834473;269.5699005126953;1.0530577898025513;3.955078125
23;2025-03-02 01:40:27.442648-03:00;273.5147247314453;3.5736265182495117;269.5636978149414;1.0627198219299316;4.306640625
24;2025-03-02 01:40:30.678417-03:00;273.4892272949219;3.5683517456054688;269.5574951171875;1.0724427700042725;3.779296875
25;2025-03-02 01:40:33.658836-03:00;273.56395721435547;3.5683517456054688;269.55126953125;1.0821605920791626;4.21875
26;2025-03-02 01:40:36.546054-03:00;273.54725646972656;-3.560439348220825;269.5450744628906;1.091866374015808;3.515625
27;2025-03-02 01:40:40.033713-03:00;273.54725646972656;-3.5657143592834473;269.53887939453125;1.1015790700912476;3.955078125
28;2025-03-02 01:40:43.581250-03:00;273.5964813232422;-3.5621979236602783;269.5305938720703;1.114546298980713;4.306640625
29;2025-03-02 01:40:46.478220-03:00;273.5674743652344;3.572747230529785;269.5243682861328;1.1242871284484863;4.21875
30;2025-03-02 01:40:49.855012-03:00;266.4588928222656;-3.581538438796997;269.51817321777344;1.134015679359436;4.306640625
31;2025-03-02 01:40:52.993730-03:00;266.43604278564453;3.574505567550659;269.5119323730469;1.1438136100769043;4.21875
32;2025-03-02 01:40:55.841648-03:00;266.5037384033203;3.5586812496185303;269.50572967529297;1.1535511016845703;3.603515625
33;2025-03-02 01:40:58.644237-03:00;273.5059356689453;-3.5648353099823;269.49952697753906;1.163294792175293;3.603515625
34;2025-03-02 01:41:01.404915-03:00;273.53845977783203;-3.5709891319274902;269.4933319091797;1.1730177402496338;4.39453125
35;2025-03-02 01:41:04.407734-03:00;266.46593475341797;-3.5806593894958496;269.4871139526367;1.182813048362732;4.306640625
36;2025-03-02 01:41:07.625544-03:00;266.5046157836914;-3.574505567550659;269.4808807373047;1.1926130056381226;3.8671875
37;2025-03-02 01:41:10.764440-03:00;266.5151672363281;-3.574505567550659;269.4746856689453;1.2023502588272095;4.04296875
38;2025-03-02 01:41:13.888249-03:00;273.5103302001953;-3.5718679428100586;269.4684829711914;1.212144136428833;3.8671875
39;2025-03-02 01:41:17.575480-03:00;266.44483184814453;3.5736265182495117;269.460205078125;1.2251862287521362;3.251953125
40;2025-03-02 01:41:21.524706-03:00;266.45713806152344;3.5789010524749756;269.4519271850586;1.2382358312606812;3.8671875
41;2025-03-02 01:41:24.663636-03:00;273.55077362060547;3.581538677215576;269.4457092285156;1.248043179512024;4.21875
42;2025-03-02 01:41:27.940139-03:00;273.56395721435547;3.574505567550659;269.4394760131836;1.2578762769699097;3.779296875
43;2025-03-02 01:41:31.256908-03:00;273.5226364135742;3.576263666152954;269.4311981201172;1.2709475755691528;3.69140625
